PS C:\Users\user\Downloads> python main.py
Microsoft Visual C++ Redistributable is not installed, this may lead to the DLL load failure.
                 It can be downloaded at https://aka.ms/vs/16/release/vc_redist.x64.exe
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 21.0
Episode 1: 29.0
Episode 2: 18.0
Episode 3: 12.0
Episode 4: 11.0
Episode 5: 29.0
Episode 6: 29.0
Episode 7: 14.0
Episode 8: 20.0
Episode 9: 21.0
Episode 10: 9.0
Episode 11: 46.0
Episode 12: 16.0
Episode 13: 36.0
Episode 14: 42.0
Episode 15: 29.0
Episode 16: 44.0
Episode 17: 72.0
Episode 18: 65.0
Episode 19: 60.0
Episode 20: 64.0
Episode 21: 87.0
Episode 22: 65.0
Episode 23: 99.0
Episode 24: 62.0
Episode 25: 95.0
Episode 26: 93.0
Episode 27: 140.0
Episode 28: 94.0
Episode 29: 85.0
Episode 30: 101.0
Episode 31: 165.0
Episode 32: 312.0
Episode 33: 187.0
Episode 34: 237.0
Episode 35: 212.0
Episode 36: 285.0
Episode 37: 240.0
Episode 38: 324.0
Episode 39: 218.0
Episode 40: 293.0
Episode 41: 386.0
Episode 42: 275.0
Episode 43: 231.0
Episode 44: 324.0
Episode 45: 291.0
Episode 46: 360.0
Episode 47: 268.0
Episode 48: 426.0
Episode 49: 334.0
Episode 50: 350.0
Episode 51: 310.0
Episode 52: 437.0
Episode 53: 332.0
Episode 54: 326.0
Episode 55: 360.0
Episode 56: 397.0
Episode 57: 494.0
Episode 58: 483.0
Episode 59: 500.0
Episode 60: 500.0
Episode 61: 500.0
Episode 62: 500.0
Episode 63: 500.0
Episode 64: 500.0
Episode 65: 500.0
Episode 66: 500.0
Episode 67: 500.0
Episode 68: 500.0
Episode 69: 500.0
Episode 70: 221.0
Episode 71: 500.0
Episode 72: 500.0
Episode 73: 500.0
Episode 74: 500.0
Episode 75: 500.0
END train function
Minimum number of episodes for 475 : 75, Average of 20 episodes reward : 479.75
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 15.0
Episode 1: 33.0
Episode 2: 42.0
Episode 3: 14.0
Episode 4: 26.0
Episode 5: 13.0
Episode 6: 13.0
Episode 7: 52.0
Episode 8: 19.0
Episode 9: 58.0
Episode 10: 35.0
Episode 11: 44.0
Episode 12: 46.0
Episode 13: 51.0
Episode 14: 55.0
Episode 15: 59.0
Episode 16: 49.0
Episode 17: 135.0
Episode 18: 123.0
Episode 19: 62.0
Episode 20: 77.0
Episode 21: 48.0
Episode 22: 108.0
Episode 23: 259.0
Episode 24: 84.0
Episode 25: 198.0
Episode 26: 155.0
Episode 27: 233.0
Episode 28: 359.0
