PS C:\Users\user\Downloads> python main.py --use_per True
Microsoft Visual C++ Redistributable is not installed, this may lead to the DLL load failure.
                 It can be downloaded at https://aka.ms/vs/16/release/vc_redist.x64.exe
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 14.0
Episode 1: 17.0
Episode 2: 25.0
Episode 3: 34.0
Episode 4: 87.0
Episode 5: 34.0
Episode 6: 41.0
Episode 7: 73.0
Episode 8: 75.0
Episode 9: 56.0
Episode 10: 152.0
Episode 11: 58.0
Episode 12: 67.0
Episode 13: 108.0
Episode 14: 47.0
Episode 15: 92.0
Episode 16: 145.0
Episode 17: 123.0
Episode 18: 195.0
Episode 19: 118.0
Episode 20: 161.0
Episode 21: 269.0
Episode 22: 336.0
Episode 23: 500.0
Episode 24: 325.0
Episode 25: 500.0
Episode 26: 500.0
Episode 27: 500.0
Episode 28: 417.0
Episode 29: 404.0
Episode 30: 372.0
Episode 31: 378.0
Episode 32: 500.0
Episode 33: 500.0
Episode 34: 500.0
Episode 35: 404.0
Episode 36: 500.0
Episode 37: 500.0
Episode 38: 500.0
Episode 39: 500.0
Episode 40: 500.0
Episode 41: 500.0
Episode 42: 500.0
Episode 43: 500.0
Episode 44: 500.0
Episode 45: 500.0
Episode 46: 500.0
Episode 47: 500.0
Episode 48: 500.0
END train function
Minimum number of episodes for 475 : 48, Average of 20 episodes reward : 477.9
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 29.0
Episode 1: 44.0
Episode 2: 17.0
Episode 3: 11.0
Episode 4: 45.0
Episode 5: 33.0
Episode 6: 26.0
Episode 7: 33.0
Episode 8: 60.0
Episode 9: 39.0
Episode 10: 13.0
Episode 11: 48.0
Episode 12: 38.0
Episode 13: 61.0
Episode 14: 55.0
Episode 15: 73.0
Episode 16: 67.0
Episode 17: 59.0
Episode 18: 78.0
Episode 19: 56.0
Episode 20: 64.0
Episode 21: 80.0
Episode 22: 83.0
Episode 23: 57.0
Episode 24: 78.0
Episode 25: 146.0
Episode 26: 98.0
Episode 27: 194.0
Episode 28: 209.0
Episode 29: 241.0
Episode 30: 226.0
Episode 31: 306.0
Episode 32: 325.0
Episode 33: 298.0
Episode 34: 336.0
Episode 35: 334.0
Episode 36: 500.0
Episode 37: 270.0
Episode 38: 379.0
Episode 39: 389.0
Episode 40: 411.0
Episode 41: 459.0
Episode 42: 417.0
Episode 43: 360.0
Episode 44: 451.0
Episode 45: 438.0
Episode 46: 459.0
Episode 47: 465.0
Episode 48: 500.0
Episode 49: 472.0
Episode 50: 500.0
Episode 51: 500.0
Episode 52: 500.0
Episode 53: 500.0
Episode 54: 500.0
Episode 55: 500.0
Episode 56: 500.0
Episode 57: 500.0
Episode 58: 500.0
Episode 59: 500.0
Episode 60: 500.0
END train function
Minimum number of episodes for 475 : 60, Average of 20 episodes reward : 476.05
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 11.0
Episode 1: 24.0
Episode 2: 13.0
Episode 3: 24.0
Episode 4: 27.0
Episode 5: 13.0
Episode 6: 51.0
Episode 7: 19.0
Episode 8: 26.0
Episode 9: 35.0
Episode 10: 92.0
Episode 11: 72.0
Episode 12: 78.0
Episode 13: 43.0
Episode 14: 30.0
Episode 15: 34.0
Episode 16: 72.0
Episode 17: 57.0
Episode 18: 66.0
Episode 19: 46.0
Episode 20: 71.0
Episode 21: 68.0
Episode 22: 88.0
Episode 23: 67.0
Episode 24: 61.0
Episode 25: 180.0
Episode 26: 81.0
Episode 27: 215.0
Episode 28: 279.0
Episode 29: 225.0
Episode 30: 219.0
Episode 31: 283.0
Episode 32: 324.0
Episode 33: 292.0
Episode 34: 306.0
Episode 35: 258.0
Episode 36: 500.0
Episode 37: 253.0
Episode 38: 500.0
Episode 39: 377.0
Episode 40: 414.0
Episode 41: 431.0
Episode 42: 414.0
Episode 43: 325.0
Episode 44: 402.0
Episode 45: 418.0
Episode 46: 434.0
Episode 47: 413.0
Episode 48: 500.0
Episode 49: 446.0
Episode 50: 481.0
Episode 51: 500.0
Episode 52: 500.0
Episode 53: 500.0
Episode 54: 500.0
Episode 55: 500.0
Episode 56: 500.0
Episode 57: 500.0
Episode 58: 500.0
Episode 59: 500.0
Episode 60: 500.0
Episode 61: 500.0
Episode 62: 500.0
Episode 63: 500.0
END train function
Minimum number of episodes for 475 : 63, Average of 20 episodes reward : 479.7
..........
Number of demo samples 423
Pre-training with 1000 steps
Pre-training done...
Episode 0: 19.0
Episode 1: 15.0
